Time, Facebook , Google , YouTube 
2022-03-09T12:15:00.000+07:00," 34,037,306,039.46 "," 5,402,610,999.64 "," 281,532,901,021.45 "
2022-03-09T12:30:00.000+07:00," 103,892,783,959.37 "," 16,841,214,763.25 "," 842,164,664,075.28 "
2022-03-09T12:45:00.000+07:00," 105,542,943,393.85 "," 16,601,004,197.19 "," 838,938,974,960.16 "
2022-03-09T13:00:00.000+07:00," 103,717,432,879.43 "," 16,759,933,259.30 "," 831,033,253,541.21 "
2022-03-09T13:15:00.000+07:00," 102,930,769,924.47 "," 16,977,243,008.84 "," 839,212,542,032.33 "
2022-03-09T13:30:00.000+07:00," 101,179,361,483.19 "," 17,443,531,752.97 "," 851,533,731,054.87 "
2022-03-09T13:45:00.000+07:00," 101,071,258,346.02 "," 16,072,185,388.97 "," 850,289,914,866.00 "
2022-03-09T14:00:00.000+07:00," 101,635,655,612.55 "," 15,485,062,912.29 "," 851,581,754,045.72 "
2022-03-09T14:15:00.000+07:00," 102,314,804,000.36 "," 17,372,787,094.15 "," 854,033,426,266.92 "
2022-03-09T14:30:00.000+07:00," 103,306,857,060.21 "," 16,570,357,152.39 "," 853,368,080,282.31 "
2022-03-09T14:45:00.000+07:00," 104,391,220,616.23 "," 16,793,137,228.88 "," 853,498,928,338.44 "
2022-03-09T15:00:00.000+07:00," 105,310,507,520.16 "," 17,469,289,416.65 "," 856,109,127,263.69 "
2022-03-09T15:15:00.000+07:00," 105,380,135,095.34 "," 16,483,996,146.45 "," 854,595,779,840.93 "
2022-03-09T15:30:00.000+07:00," 106,276,750,244.28 "," 16,134,705,710.12 "," 857,775,403,435.38 "
2022-03-09T15:45:00.000+07:00," 107,315,237,854.29 "," 16,452,369,037.68 "," 870,132,203,533.90 "
2022-03-09T16:00:00.000+07:00," 108,273,943,610.14 "," 16,301,347,259.74 "," 875,117,090,418.91 "
2022-03-09T16:15:00.000+07:00," 108,286,484,513.70 "," 16,221,790,672.43 "," 875,939,507,346.06 "
2022-03-09T16:30:00.000+07:00," 107,684,788,649.29 "," 16,278,610,257.90 "," 869,567,330,610.30 "
2022-03-09T16:45:00.000+07:00," 107,238,373,203.87 "," 16,782,688,689.62 "," 869,769,193,860.37 "
2022-03-09T17:00:00.000+07:00," 106,746,502,036.63 "," 16,192,967,384.99 "," 864,456,944,450.24 "
2022-03-09T17:15:00.000+07:00," 106,509,914,280.25 "," 16,836,848,893.60 "," 861,480,945,694.28 "
2022-03-09T17:30:00.000+07:00," 106,512,188,114.34 "," 16,132,711,069.44 "," 864,712,048,181.64 "
2022-03-09T17:45:00.000+07:00," 108,707,320,482.16 "," 16,669,669,595.06 "," 868,238,655,339.70 "
2022-03-09T18:00:00.000+07:00," 110,779,475,759.51 "," 17,059,741,120.72 "," 879,350,642,002.89 "
2022-03-09T18:15:00.000+07:00," 115,092,188,791.56 "," 16,660,153,087.73 "," 897,136,708,549.67 "
2022-03-09T18:30:00.000+07:00," 120,813,184,636.44 "," 18,135,997,595.19 "," 925,667,771,562.06 "
2022-03-09T18:45:00.000+07:00," 128,885,488,905.88 "," 17,501,952,543.98 "," 963,136,120,419.86 "
2022-03-09T19:00:00.000+07:00," 138,359,558,848.26 "," 19,265,598,662.52 "," 1,001,246,309,410.48 "
2022-03-09T19:15:00.000+07:00," 147,127,134,296.60 "," 19,454,661,866.33 "," 1,035,647,784,920.47 "
2022-03-09T19:30:00.000+07:00," 154,694,697,972.44 "," 18,956,973,349.08 "," 1,060,065,881,910.49 "
2022-03-09T19:45:00.000+07:00," 162,098,499,031.47 "," 18,836,166,288.83 "," 1,077,743,001,972.81 "
2022-03-09T20:00:00.000+07:00," 165,814,006,065.98 "," 19,420,581,810.98 "," 1,091,448,356,334.39 "
2022-03-09T20:15:00.000+07:00," 178,820,388,557.56 "," 19,821,873,021.20 "," 1,120,152,507,943.91 "
2022-03-09T20:30:00.000+07:00," 178,764,961,205.60 "," 19,156,547,603.62 "," 1,105,357,519,970.29 "
