Row Labels	Facebook	Google	YouTube
2022-02-19 16:30:00	31913763272.92	5442671026.90	294086208575.19
2022-02-19 16:45:00	95909927836.68	15579037301.68	877142228187.01
2022-02-19 17:00:00	93386396814.52	14642405552.34	852996834639.81
2022-02-19 17:15:00	94533327821.52	15357984517.24	871033347389.47
2022-02-19 17:30:00	95279336918.96	14948531981.04	862978971249.16
2022-02-19 17:45:00	95819895334.81	15656628355.70	863003801719.98
2022-02-19 18:00:00	96323283530.71	16819071771.32	865155933095.84
2022-02-19 18:15:00	100187996518.68	16757302405.86	881879409058.14
2022-02-19 18:30:00	103892555329.05	16181884663.72	911167025093.41
2022-02-19 18:45:00	109556122202.87	15929365183.45	946306787223.92
2022-02-19 19:00:00	114033157991.88	16964118877.70	970531392552.82
2022-02-19 19:15:00	122548647900.38	17985287760.10	1015738272082.48
2022-02-19 19:30:00	127786811438.91	19166480941.43	1034272480805.53
2022-02-19 19:45:00	131849964765.03	17762393563.82	1041131536777.54
2022-02-19 20:00:00	127903282902.21	17660397493.70	993452709494.66
2022-02-19 20:15:00	140837361932.60	18485012779.47	1079910789813.03
2022-02-19 20:30:00	140218475206.29	18681253740.09	1059031767496.40
2022-02-19 20:45:00	141001668595.54	18628507295.69	1046032094169.98
2022-02-19 21:00:00	119460025946.62	16251190178.00	862650969357.36
2022-02-19 21:15:00	144024514661.43	18105566458.95	1007852005734.37
2022-02-19 21:30:00	142240949875.26	18581072317.47	999960489082.26
2022-02-19 21:45:00	139864130989.02	17920850439.54	962381739967.42
2022-02-19 22:00:00	110610435511.67	13754366498.36	748938931781.79
2022-02-19 22:15:00	126542344837.22	16784582079.44	873739699244.89
2022-02-19 22:30:00	119830154320.71	16097996829.12	848930621812.04
2022-02-19 22:45:00	116045777649.21	16206412677.37	826351592023.73
2022-02-19 23:00:00	87192592022.31	13888643860.40	664599209981.59
2022-02-19 23:15:00	95505398473.78	14960802850.86	730143405084.68
2022-02-19 23:30:00	87502993470.83	15012865542.26	685240481464.14
2022-02-19 23:45:00	81615763648.58	15757486971.06	650721728955.33
2022-02-20 00:00:00	76048255139.96	14225693334.17	612199577569.98
2022-02-20 00:15:00	68505972083.04	13049521407.37	581864590269.05
2022-02-20 00:30:00	59360726906.16	13251324373.58	530138955434.51
2022-02-20 00:45:00	53053263184.42	11840313182.29	483963248387.93
2022-02-20 01:00:00	47097185626.61	11258268449.13	446673255394.60
2022-02-20 01:15:00	42795211306.41	9641445255.97	420993680081.10
2022-02-20 01:30:00	38075238160.00	9666738785.76	385924892443.15
2022-02-20 01:45:00	34335681488.84	8884934694.48	354049068404.56
2022-02-20 02:00:00	31558607997.43	10066025442.28	326656128283.67
2022-02-20 02:15:00	29140456055.96	10496208527.48	301681401387.81
2022-02-20 02:30:00	27630716037.32	10196070204.84	290526050870.97
2022-02-20 02:45:00	24979758246.84	9719736479.97	272331635567.89
2022-02-20 03:00:00	23316550057.37	9127348685.19	252673315528.96
2022-02-20 03:15:00	21675205039.07	9223515185.48	236256382204.22
2022-02-20 03:30:00	20588899496.20	8476272013.29	218423793684.05
2022-02-20 03:45:00	19952146123.98	8563909459.40	204996462041.36
2022-02-20 04:00:00	19419289217.69	8487321613.60	193986001171.16
2022-02-20 04:15:00	19125171327.49	8920886009.55	185951502748.01
2022-02-20 04:30:00	19552565352.06	8462258090.62	180170794518.69
2022-02-20 04:45:00	20152617402.62	8397037041.49	176292290109.87
