Time,Facebook,Google,YouTube
2022-03-09 12:15:00,34037306039.46,5402610999.64,281532901021.45
2022-03-09 12:30:00,103892783959.37,16841214763.25,842164664075.28
2022-03-09 12:45:00,105542943393.85,16601004197.19,838938974960.16
2022-03-09 13:00:00,103717432879.43,16759933259.30,831033253541.21
2022-03-09 13:15:00,102930769924.47,16977243008.84,839212542032.33
2022-03-09 13:30:00,101179361483.19,17443531752.97,851533731054.87
2022-03-09 13:45:00,101071258346.02,16072185388.97,850289914866.00
2022-03-09 14:00:00,101635655612.55,15485062912.29,851581754045.72
2022-03-09 14:15:00,102314804000.36,17372787094.15,854033426266.92
2022-03-09 14:30:00,103306857060.21,16570357152.39,853368080282.31
2022-03-09 14:45:00,104391220616.23,16793137228.88,853498928338.44
2022-03-09 15:00:00,105310507520.16,17469289416.65,856109127263.69
2022-03-09 15:15:00,105380135095.34,16483996146.45,854595779840.93
2022-03-09 15:30:00,106276750244.28,16134705710.12,857775403435.38
2022-03-09 15:45:00,107315237854.29,16452369037.68,870132203533.90
2022-03-09 16:00:00,108273943610.14,16301347259.74,875117090418.91
2022-03-09 16:15:00,108286484513.70,16221790672.43,875939507346.06
2022-03-09 16:30:00,107684788649.29,16278610257.90,869567330610.30
2022-03-09 16:45:00,107238373203.87,16782688689.62,869769193860.37
2022-03-09 17:00:00,106746502036.63,16192967384.99,864456944450.24
2022-03-09 17:15:00,106509914280.25,16836848893.60,861480945694.28
2022-03-09 17:30:00,106512188114.34,16132711069.44,864712048181.64
2022-03-09 17:45:00,108707320482.16,16669669595.06,868238655339.70
2022-03-09 18:00:00,110779475759.51,17059741120.72,879350642002.89
2022-03-09 18:15:00,115092188791.56,16660153087.73,897136708549.67
2022-03-09 18:30:00,120813184636.44,18135997595.19,925667771562.06
2022-03-09 18:45:00,128885488905.88,17501952543.98,963136120419.86
2022-03-09 19:00:00,138359558848.26,19265598662.52,1001246309410.48
2022-03-09 19:15:00,147127134296.60,19454661866.33,1035647784920.47
2022-03-09 19:30:00,154694697972.44,18956973349.08,1060065881910.49
2022-03-09 19:45:00,162098499031.47,18836166288.83,1077743001972.81
2022-03-09 20:00:00,165814006065.98,19420581810.98,1091448356334.39
2022-03-09 20:15:00,178820388557.56,19821873021.20,1120152507943.91
2022-03-09 20:30:00,178764961205.60,19156547603.62,1105357519970.29
2022-03-09 20:45:00,181307158453.22,19072911626.76,1084284338971.67
2022-03-09 21:00:00,161866223765.99,19295179300.99,958820439277.51
2022-03-09 21:15:00,183988292714.05,21862409296.93,1047345025303.06
2022-03-09 21:30:00,182761621367.72,21754257246.03,1023900623273.87
2022-03-09 21:45:00,174663476881.90,20800639421.81,992973290624.41
2022-03-09 22:00:00,139272425745.59,17454007239.01,816990056630.32
2022-03-09 22:15:00,154484041238.68,18613278793.32,921262940965.83
2022-03-09 22:30:00,144695737187.97,18430737058.85,882761974095.69
2022-03-09 22:45:00,132413560607.00,18516893769.39,853107580926.41
2022-03-09 23:00:00,113280560482.62,16514966818.38,751890542800.60
2022-03-09 23:15:00,108634533390.30,17140368664.76,774843494894.52
2022-03-09 23:30:00,98398824026.93,15182466649.73,728420014449.20
2022-03-09 23:45:00,88088067499.83,14695761220.68,680924901949.51
2022-03-10 00:00:00,80873979440.90,14380523527.95,631346786984.63
2022-03-10 00:15:00,70060050747.11,12317490230.83,578951910074.36
2022-03-10 00:30:00,62080326659.79,12315101810.80,532805977097.49
2022-03-10 00:45:00,55022198750.31,11633900638.71,482693977529.25
2022-03-10 01:00:00,48666462013.75,10927293235.13,439688540833.94
2022-03-10 01:15:00,43060406608.36,10549661642.40,406260840616.04
2022-03-10 01:30:00,38948227982.83,9992017410.20,377060875505.75
2022-03-10 01:45:00,34858370177.29,9879129260.57,349279836655.56
2022-03-10 02:00:00,33496445255.57,10742458607.22,326140947330.51
