Time,RX_Value
19/2/2022 16:30,2.94E+11
19/2/2022 16:45,8.77E+11
19/2/2022 17:00,8.53E+11
19/2/2022 17:15,8.71E+11
19/2/2022 17:30,8.63E+11
19/2/2022 17:45,8.63E+11
19/2/2022 18:00,8.65E+11
19/2/2022 18:15,8.82E+11
19/2/2022 18:30,9.11E+11
19/2/2022 18:45,9.46E+11
19/2/2022 19:00,9.71E+11
19/2/2022 19:15,1.02E+12
19/2/2022 19:30,1.03E+12
19/2/2022 19:45,1.04E+12
19/2/2022 20:00,9.93E+11
19/2/2022 20:15,1.08E+12
19/2/2022 20:30,1.06E+12
19/2/2022 20:45,1.05E+12
19/2/2022 21:00,8.63E+11
19/2/2022 21:15,1.01E+12
19/2/2022 21:30,1.00E+12
19/2/2022 21:45,9.62E+11
19/2/2022 22:00,7.49E+11
19/2/2022 22:15,8.74E+11
19/2/2022 22:30,8.49E+11
19/2/2022 22:45,8.26E+11
19/2/2022 23:00,6.65E+11
19/2/2022 23:15,7.30E+11
19/2/2022 23:30,6.85E+11
19/2/2022 23:45,6.51E+11
20/2/2022 0:00,6.12E+11
20/2/2022 0:15,5.82E+11
20/2/2022 0:30,5.30E+11
20/2/2022 0:45,4.84E+11
20/2/2022 1:00,4.47E+11
20/2/2022 1:15,4.21E+11
20/2/2022 1:30,3.86E+11
20/2/2022 1:45,3.54E+11
20/2/2022 2:00,3.27E+11
20/2/2022 2:15,3.02E+11
20/2/2022 2:30,2.91E+11
20/2/2022 2:45,2.72E+11
20/2/2022 3:00,2.53E+11
20/2/2022 3:15,2.36E+11
20/2/2022 3:30,2.18E+11
20/2/2022 3:45,2.05E+11
20/2/2022 4:00,1.94E+11
20/2/2022 4:15,1.86E+11
20/2/2022 4:30,1.80E+11
20/2/2022 4:45,1.76E+11
20/2/2022 5:00,1.76E+11
20/2/2022 5:15,1.78E+11
20/2/2022 5:30,1.82E+11
20/2/2022 5:45,1.91E+11
20/2/2022 6:00,2.03E+11
20/2/2022 6:15,2.21E+11
20/2/2022 6:30,2.46E+11
20/2/2022 6:45,2.83E+11
20/2/2022 7:00,3.32E+11
20/2/2022 7:15,3.86E+11
20/2/2022 7:30,4.41E+11
20/2/2022 7:45,4.97E+11
20/2/2022 8:00,5.50E+11
20/2/2022 8:15,5.98E+11
20/2/2022 8:30,6.51E+11
20/2/2022 8:45,7.02E+11
20/2/2022 9:00,7.56E+11
20/2/2022 9:15,7.96E+11
20/2/2022 9:30,8.23E+11
20/2/2022 9:45,8.42E+11
20/2/2022 10:00,8.58E+11
20/2/2022 10:15,8.72E+11
20/2/2022 10:30,8.82E+11
20/2/2022 10:45,8.93E+11
20/2/2022 11:00,8.97E+11
20/2/2022 11:15,9.02E+11
20/2/2022 11:30,9.05E+11
20/2/2022 11:45,9.05E+11
20/2/2022 12:00,9.02E+11
20/2/2022 12:15,9.14E+11
20/2/2022 12:30,9.22E+11
20/2/2022 12:45,9.24E+11
20/2/2022 13:00,9.08E+11
20/2/2022 13:15,9.27E+11
20/2/2022 13:30,9.30E+11
20/2/2022 13:45,9.24E+11
20/2/2022 14:00,9.08E+11
20/2/2022 14:15,9.22E+11
20/2/2022 14:30,9.16E+11
20/2/2022 14:45,9.05E+11
20/2/2022 15:00,6.91E+11
20/2/2022 15:15,9.12E+11
20/2/2022 15:30,9.06E+11
20/2/2022 15:45,9.03E+11
20/2/2022 16:00,8.89E+11
20/2/2022 16:15,8.94E+11
20/2/2022 16:30,8.95E+11
20/2/2022 16:45,8.92E+11
20/2/2022 17:00,8.84E+11
20/2/2022 17:15,8.84E+11
20/2/2022 17:30,8.85E+11
20/2/2022 17:45,8.91E+11
20/2/2022 18:00,8.93E+11
20/2/2022 18:15,9.14E+11
20/2/2022 18:30,9.47E+11
20/2/2022 18:45,9.92E+11
20/2/2022 19:00,9.74E+11
20/2/2022 19:15,1.07E+12
20/2/2022 19:30,1.08E+12
20/2/2022 19:45,1.09E+12
20/2/2022 20:00,9.71E+11
20/2/2022 20:15,1.12E+12
20/2/2022 20:30,1.08E+12
20/2/2022 20:45,1.05E+12
20/2/2022 21:00,8.18E+11
20/2/2022 21:15,9.68E+11
20/2/2022 21:30,9.41E+11
20/2/2022 21:45,9.20E+11
20/2/2022 22:00,7.13E+11
20/2/2022 22:15,8.33E+11
20/2/2022 22:30,8.02E+11
20/2/2022 22:45,7.67E+11
20/2/2022 23:00,6.80E+11
20/2/2022 23:15,7.13E+11
20/2/2022 23:30,6.70E+11
20/2/2022 23:45,6.22E+11
21/2/2022 0:00,5.70E+11
21/2/2022 0:15,5.33E+11
21/2/2022 0:30,4.92E+11
21/2/2022 0:45,4.50E+11
21/2/2022 1:00,4.12E+11
21/2/2022 1:15,3.81E+11
21/2/2022 1:30,3.52E+11
21/2/2022 1:45,3.26E+11
21/2/2022 2:00,3.02E+11
21/2/2022 2:15,2.81E+11
21/2/2022 2:30,2.60E+11
21/2/2022 2:45,2.42E+11
21/2/2022 3:00,2.25E+11
21/2/2022 3:15,2.10E+11
21/2/2022 3:30,1.97E+11
21/2/2022 3:45,1.86E+11
21/2/2022 4:00,1.75E+11
21/2/2022 4:15,1.67E+11
21/2/2022 4:30,1.64E+11
21/2/2022 4:45,1.60E+11
21/2/2022 5:00,1.60E+11
21/2/2022 5:15,1.65E+11
21/2/2022 5:30,1.77E+11
21/2/2022 5:45,1.91E+11
21/2/2022 6:00,2.12E+11
21/2/2022 6:15,2.43E+11
21/2/2022 6:30,2.80E+11
21/2/2022 6:45,3.25E+11
21/2/2022 7:00,3.68E+11
21/2/2022 7:15,4.05E+11
21/2/2022 7:30,4.38E+11
21/2/2022 7:45,4.71E+11
21/2/2022 8:00,4.96E+11
21/2/2022 8:15,5.25E+11
21/2/2022 8:30,5.50E+11
21/2/2022 8:45,5.82E+11
21/2/2022 9:00,6.13E+11
21/2/2022 9:15,6.45E+11
21/2/2022 9:30,6.67E+11
21/2/2022 9:45,6.86E+11
21/2/2022 10:00,7.00E+11
21/2/2022 10:15,7.12E+11
21/2/2022 10:30,7.25E+11
21/2/2022 10:45,7.39E+11
21/2/2022 11:00,7.48E+11
21/2/2022 11:15,7.58E+11
21/2/2022 11:30,7.68E+11
21/2/2022 11:45,7.76E+11
21/2/2022 12:00,7.81E+11
21/2/2022 12:15,7.89E+11
21/2/2022 12:30,7.91E+11
21/2/2022 12:45,7.88E+11
21/2/2022 13:00,7.60E+11
21/2/2022 13:15,7.73E+11
21/2/2022 13:30,7.73E+11
21/2/2022 13:45,7.69E+11
21/2/2022 14:00,7.39E+11
21/2/2022 14:15,7.73E+11
21/2/2022 14:30,7.73E+11
21/2/2022 14:45,7.73E+11
21/2/2022 15:00,7.64E+11
21/2/2022 15:15,7.87E+11
21/2/2022 15:30,7.98E+11
21/2/2022 15:45,8.16E+11
21/2/2022 16:00,8.33E+11
21/2/2022 16:15,8.52E+11
21/2/2022 16:30,8.57E+11
21/2/2022 16:45,8.58E+11
21/2/2022 17:00,8.52E+11
21/2/2022 17:15,8.60E+11
21/2/2022 17:30,8.67E+11
21/2/2022 17:45,8.79E+11
21/2/2022 18:00,8.92E+11
21/2/2022 18:15,9.24E+11
21/2/2022 18:30,9.50E+11
21/2/2022 18:45,9.83E+11
21/2/2022 19:00,9.76E+11
21/2/2022 19:15,1.05E+12
21/2/2022 19:30,1.06E+12
21/2/2022 19:45,1.08E+12
21/2/2022 20:00,9.39E+11
21/2/2022 20:15,1.13E+12
21/2/2022 20:30,1.10E+12
21/2/2022 20:45,1.08E+12
21/2/2022 21:00,8.32E+11
21/2/2022 21:15,1.01E+12
21/2/2022 21:30,9.81E+11
21/2/2022 21:45,9.41E+11
21/2/2022 22:00,7.22E+11
